-4.5332031250,-4.9472656250,-5.9902343750,-41.5649414063,-22.0336914063,7.4462890625
-4.2753906250,-3.2890625000,-4.9394531250,-38.0859375000,-12.3901367187,15.9301757812
-3.9707031250,-4.3574218750,-5.9140625000,-39.1235351563,-1.2817382813,5.8593750000
-4.0039062500,-3.2207031250,-5.6308593750,-26.8554687500,39.7338867188,9.5214843750
-4.5839843750,-4.7519531250,-6.1445312500,-50.2319335938,-73.3642578125,10.7421875000
-3.8691406250,-3.3671875000,-5.9375000000,-17.6391601563,25.3295898438,0.4272460938
-4.4726562500,-5.1542968750,-5.1796875000,-39.5507812500,-20.3857421875,9.0332031250
-4.2187500000,-3.9257812500,-6.1367187500,-31.9213867188,22.5219726563,9.0332031250
-4.7128906250,-5.0859375000,-5.5625000000,-41.7480468750,-2.1362304688,6.6528320313
-3.9785156250,-3.1992187500,-5.9355468750,-18.1884765625,81.1767578125,8.4838867187
-4.0976562500,-3.5527343750,-5.3984375000,-27.2827148438,61.8286132813,-5.2490234375
-3.8925781250,-3.4863281250,-5.1582031250,-23.9257812500,52.1240234375,-3.5400390625
-4.1660156250,-4.0937500000,-5.4824218750,-21.2402343750,15.9301757812,-4.5776367188
-4.0683593750,-3.7089843750,-4.8945312500,-22.4609375000,15.6250000000,2.0141601563
-3.9218750000,-4.2246093750,-6.2500000000,-16.9677734375,111.3891601562,-9.9487304687
-4.9218750000,-4.0156250000,-4.4980468750,-25.2685546875,82.2143554687,7.2021484375
-4.0371093750,-4.1230468750,-5.0234375000,-47.7905273438,-100.1586914062,4.6386718750
-4.3281250000,-3.8515625000,-5.3730468750,-63.2934570313,-222.2900390625,10.8642578125
-3.4003906250,-3.2343750000,-4.9902343750,-44.1284179688,6.7749023438,2.5024414063
-4.2792968750,-4.0273437500,-5.4355468750,-34.9121093750,18.3715820313,2.8076171875
-3.3125000000,-3.5761718750,-4.3515625000,-34.4238281250,-56.5185546875,-1.8310546875
-5.0722656250,-3.4199218750,-5.4765625000,-36.9262695313,26.5502929688,-2.3193359375
-4.0859375000,-3.7382812500,-5.4882812500,-18.9819335938,-38.4521484375,-6.9580078125
-5.0039062500,-4.7324218750,-6.3222656250,-35.6445312500,-57.1289062500,-2.3193359375
